train_acc,train_loss,val_acc,val_loss
0.009452631578947369,4.6086082,0.0104,4.6067023
0.008947368421052631,4.606452,0.0076,4.6063476
0.008652631578947368,4.606139,0.0076,4.6066437
0.009221052631578948,4.606116,0.007599999999999999,4.606847
0.009452631578947369,4.605963,0.006400000000000001,4.606779
0.008989473684210525,4.605925,0.0068,4.60709
0.00922105263157895,4.6059346,0.0076,4.6068873
0.009178947368421052,4.6058326,0.006400000000000001,4.6067157
0.008842105263157896,4.6058345,0.006400000000000001,4.6069264
0.00934736842105263,4.6058245,0.0064,4.6067424
0.009326315789473684,4.605776,0.0072,4.6067533
0.009263157894736843,4.6058207,0.007200000000000001,4.6067314
0.009705263157894736,4.6057534,0.0076,4.6068416
0.0092,4.605759,0.0076,4.607004
0.008694736842105264,4.6057615,0.0076,4.6068325
0.009094736842105263,4.605745,0.0072,4.606794
0.009473684210526316,4.6057496,0.006400000000000001,4.6069355
0.009557894736842107,4.605728,0.0072,4.6067185
0.009073684210526317,4.6057196,0.0064,4.6068983
0.00905263157894737,4.6057158,0.0072,4.606856
0.009789473684210527,4.6057,0.0064,4.6069164
0.009557894736842105,4.6057043,0.007200000000000001,4.6068664
0.009431578947368423,4.6056604,0.0064,4.6068916
0.009621052631578949,4.605688,0.0064,4.6066933
0.009515789473684212,4.605654,0.0072,4.606895
0.009157894736842104,4.6056466,0.0064,4.606843
0.009263157894736843,4.605668,0.0076,4.60676
0.008484210526315789,4.605624,0.0064,4.6067877
0.00983157894736842,4.605636,0.0064,4.6067796
0.009536842105263158,4.605628,0.0064,4.6067476
0.008821052631578946,4.6056376,0.0064,4.606718
0.00905263157894737,4.605664,0.0064,4.606813
0.010126315789473685,4.60561,0.0064,4.606836
0.009515789473684212,4.605599,0.0064,4.6068554
0.009031578947368422,4.6056156,0.0064,4.6068864
0.009073684210526317,4.6055827,0.0064,4.6067967
0.009642105263157895,4.60563,0.007200000000000001,4.6067424
0.009368421052631578,4.60559,0.0064,4.6067977
0.009073684210526317,4.6055913,0.0064,4.606882
0.009263157894736843,4.6056085,0.006400000000000001,4.6068134
0.009389473684210526,4.6055837,0.006400000000000001,4.6068206
0.00911578947368421,4.6055756,0.0064,4.606763
0.008947368421052631,4.6055913,0.006400000000000001,4.606824
0.008715789473684211,4.605598,0.0064,4.6069283
0.008842105263157896,4.605578,0.007200000000000001,4.6069703
0.009052631578947368,4.6055927,0.007200000000000001,4.606954
0.008547368421052633,4.6056013,0.0068000000000000005,4.606918
0.009578947368421055,4.605578,0.007200000000000001,4.606885
0.009389473684210526,4.60556,0.008,4.6068788
0.009157894736842106,4.6055813,0.0068,4.606919
0.009957894736842105,4.605562,0.0064,4.6068964
0.009410526315789473,4.6056275,0.007200000000000001,4.6071815
0.009305263157894737,4.6056085,0.0064,4.6069183
0.009578947368421055,4.6055627,0.0064,4.6068554
0.00905263157894737,4.6055655,0.006400000000000001,4.6069674
0.009242105263157895,4.605645,0.0064,4.606816
0.009536842105263156,4.6055675,0.0064,4.6068225
0.009326315789473684,4.60558,0.0068000000000000005,4.606855
0.008989473684210525,4.60557,0.006400000000000001,4.606848
0.009305263157894737,4.605563,0.006400000000000001,4.6068664
0.008884210526315791,4.60557,0.006400000000000001,4.6069336
0.00888421052631579,4.6055794,0.0064,4.606906
0.009031578947368423,4.605623,0.0064,4.6068797
0.009073684210526317,4.6055703,0.0064,4.6069503
0.009199999999999998,4.6055746,0.0064,4.6069684
0.009705263157894738,4.60558,0.0064,4.6069174
0.008757894736842105,4.6055737,0.0064,4.6068134
0.008968421052631579,4.6055846,0.007600000000000001,4.606893
0.009452631578947369,4.605612,0.0064,4.6069193
0.008610526315789473,4.605586,0.006400000000000001,4.606983
0.009305263157894737,4.605579,0.0076,4.6070046
0.009663157894736842,4.6055837,0.0064,4.606866
0.00934736842105263,4.6055813,0.0076,4.6068306
0.009242105263157894,4.6055756,0.0063999999999999994,4.6067944
0.009073684210526317,4.6056495,0.0088,4.6070576
0.009199999999999998,4.6055913,0.0064,4.6068273
0.009494736842105262,4.6055737,0.0064,4.606814
0.008821052631578946,4.6055827,0.0064,4.6067924
0.008421052631578947,4.6055737,0.006400000000000001,4.6068273
0.009494736842105262,4.6055703,0.0064,4.606822
0.008757894736842105,4.6055717,0.0064,4.6068063
0.008884210526315791,4.6055794,0.0064,4.606785
0.008357894736842104,4.605585,0.006400000000000001,4.606774
0.009473684210526316,4.6055884,0.008,4.6071815
0.009684210526315788,4.605601,0.0064,4.606837
0.009305263157894737,4.6055756,0.0064,4.6067204
0.008884210526315791,4.6056094,0.0076,4.606843
0.008652631578947368,4.6055984,0.0064,4.6069417
0.009726315789473684,4.6055617,0.0064,4.6069
0.008821052631578946,4.6055813,0.0068000000000000005,4.6068697
0.008694736842105264,4.605588,0.0072,4.606848
0.008505263157894736,4.605581,0.006400000000000001,4.6068544
0.009178947368421052,4.6056128,0.007200000000000001,4.60692
0.009768421052631579,4.60558,0.0064,4.606923
0.009157894736842104,4.6055903,0.0064,4.606806
0.00983157894736842,4.60558,0.0068,4.606857
0.009557894736842105,4.6056056,0.007200000000000001,4.6071444
0.008694736842105264,4.605647,0.0076,4.6069527
0.009052631578947368,4.605579,0.0064,4.6068225
0.00951578947368421,4.605587,0.0064,4.6068354
